,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63
10,-0.027375292,-0.532022,0.14028662,-0.09826829,0.044047274,0.06259249,0.35694316,0.27611867,0.056583215,0.10664074,0.09908024,0.26841977,-0.113810875,-0.03645071,-0.093264915,0.012702526,0.0058467984,-0.21156469,-0.3707459,-0.48804176,-0.7485731,0.11810808,0.09551103,-0.17228606,0.030676996,-0.08799384,0.018362582,0.4819643,-0.09126049,0.0068973536,0.08931005,0.21547721,0.1321122,-0.005478072,0.1446861,-0.15620282,0.0010485239,-0.23667194,0.1841713,0.2287019,0.02980987,-0.26082236,0.08363004,0.10846667,-0.2333642,-0.0007542938,0.07201604,-0.019693017,-0.08317273,-0.10658908,-0.13695198,-0.18631807,0.26048598,-0.45127997,-0.38846177,-0.08290262,0.2823919,-0.17215103,-0.19486877,-0.074913695,-0.04153329,0.087008834,-0.09792264,0.13591458
11,-0.26033792,-0.2197143,0.14370832,0.10678921,0.12902637,-0.1208388,-0.35808358,0.38210958,-0.025750259,0.14118944,-0.26265046,0.30570334,-0.07571864,-0.29899505,-0.09907837,0.27767324,-0.0962057,0.12748407,-0.4074254,-0.74593234,-0.74264187,0.1858065,0.00060961785,-0.072333604,0.06366642,0.057285674,-0.1926887,0.18408409,0.0023101866,-0.02732785,0.11962546,0.29352537,-0.069610685,-0.14949262,0.049680874,0.089794055,-0.07356977,-0.047505297,-0.07445872,0.12451272,0.15549575,-0.24101467,-0.06833828,-0.11154322,0.12447717,0.17164564,-0.33375192,0.03839673,0.05185742,-0.13694978,-0.26863334,-0.5128202,0.3889431,-0.42444402,-0.3803356,0.030471914,-0.022080623,0.07630797,-0.32744324,-0.069268174,-0.14894658,0.33699661,0.18158229,0.16022019
12,0.33543858,0.42036042,-0.020198796,0.11525453,-0.101455495,0.0009759011,0.42390925,-0.15344833,0.1439387,0.15460052,0.35645396,0.04433946,-0.047390804,0.18994617,0.21914797,-0.053036034,0.60318524,-0.013906166,0.7935276,0.42276108,0.73058796,-0.074504614,0.0075709308,0.16436867,-0.117862575,0.07309225,-0.04226622,-0.16249031,0.17653157,0.2554874,0.8701956,-0.1043039,0.17823134,0.05711502,0.16420288,-0.1571115,0.31652308,0.47706863,0.056231245,-0.013384768,-0.13984323,0.3919642,0.34345967,-0.11947719,0.17568876,0.11427629,0.808198,0.03833346,-0.19657226,-0.04511425,0.122921586,0.5308997,-0.039007407,0.32949066,0.12888297,0.20603213,0.42615443,-0.2029023,0.37191463,0.24316783,0.15789376,-0.036059942,0.19723736,0.1380717
13,0.15310925,-0.16999398,-0.0024006814,-0.05824417,0.15920006,-0.2003504,0.13081306,0.08573683,0.08056182,-0.11514242,0.017770737,-0.18335521,0.15745454,0.08661903,-0.16361271,-0.011036038,0.20742409,0.115293905,-0.07695763,0.04524836,-0.18631354,-0.058571994,0.031353995,0.013817921,-0.03252036,-0.16887513,0.17080535,-0.13860334,0.19291009,-0.04713011,0.06313023,0.1847489,0.15951996,-0.013320257,0.053253632,-0.10519523,0.1714668,-0.22146355,0.110367075,0.053817555,-0.046606373,0.08492088,-0.163299,-0.05172442,-0.2202471,0.031353995,0.07558937,-0.13321567,0.04465545,0.038621053,-0.20438364,0.074761786,-0.09089426,0.13503541,0.14438969,-0.029293356,-0.039800484,-0.19872524,-0.10802442,-0.03668058,-0.004794255,-0.06941341,0.006358415,-0.20453654
14,-0.19272381,0.16144423,-0.006691441,0.013671398,0.17544346,-0.18656829,-0.15557452,-0.107799925,-0.07850889,-0.04749593,0.031637635,-0.091568835,0.016520262,-0.026922865,0.021540299,-0.2115627,0.010801658,0.06366022,0.098809674,-0.15765956,0.030438416,-0.16202877,-0.13211475,0.18438853,0.054367308,0.186053,-0.13018991,-0.006095295,-0.18877412,-0.09889122,-0.21127968,-0.19442791,-0.17733923,-0.22188333,-0.22696799,-0.016972676,-0.21039678,0.09119247,0.02982308,-0.07847951,-0.033892635,-0.16378684,0.10076456,0.19587882,-0.04812695,0.19063045,-0.20970201,-0.034597397,0.03909285,-0.18912062,0.013895632,-0.13069016,0.09538256,-0.14467452,-0.10788425,0.081536755,-0.13991623,0.1639301,-0.0050807535,-0.21800756,-0.14318743,-0.19524705,-0.18853064,0.19453175
15,0.03395147,0.35130286,0.09333905,0.2972138,0.10943029,0.24953517,0.28888947,-0.15530634,0.10037558,0.47242686,0.15916663,-0.11389677,0.075559065,0.3178857,0.2998279,-0.13148898,0.8402765,0.1633334,0.56363976,0.5847275,0.7136532,0.14547174,0.02337641,-0.15817995,-0.25978634,0.22767623,-0.13262287,-0.2859309,-0.05918774,0.3774939,0.60769486,-0.124990076,0.2007044,0.39827356,0.20218186,0.1697966,0.3944665,0.36559072,-0.053504243,-0.23894763,-0.057851955,0.20944855,0.08378272,0.026669234,0.36444134,0.32606417,0.8224184,0.19144045,0.0735956,0.0059167594,-0.019696467,0.63776076,-0.12855455,0.4297419,0.14980341,0.16643769,0.53577924,-0.08177687,0.37793502,0.29463735,0.00031386316,-0.25436392,0.15701987,-0.12612814
16,-0.31980613,-0.02156097,0.01863157,-0.270406,0.11968506,0.061836574,0.21268602,0.27904448,0.19050656,-0.10764443,-0.06695142,0.26747724,0.048574522,0.12627277,-0.049520567,0.27822196,0.11579947,-0.073095694,-0.6408688,-0.5862017,-0.52895004,0.061533585,0.11811442,-0.13221529,0.33923927,-0.10761687,-0.12573712,0.5186084,-0.107264124,-0.3413532,-0.22700578,-0.007871228,-0.10882316,-0.22574595,0.16299394,0.099013574,0.35007298,0.08015097,-0.042616293,0.24930614,0.5593942,-0.30109867,-0.23851804,-0.18599422,0.07521248,0.15465401,-0.022712303,0.20218675,0.0345902,0.11302973,-0.20545712,0.013770997,0.29500857,-0.5201133,0.00787552,0.08480426,0.29089123,0.15604587,-0.010643629,-0.36052224,-0.18529227,-0.10479546,-0.04708104,-0.18867978
17,0.39175558,0.26784465,-0.433106,0.33670786,-0.16471563,-0.05114185,0.41703933,-0.27616143,0.06522114,0.43367097,0.2871115,-0.061630934,0.004126996,0.31296527,0.2954133,-0.24159221,0.75693053,-0.050306693,0.83260036,0.44105843,0.8161572,-0.107339285,-0.3826485,-0.07629505,-0.4029124,0.16936398,-0.1618369,-0.22021407,-0.16189279,0.60368544,0.8744728,-0.1421825,-0.05563004,0.26557243,0.14749579,0.12286325,0.17119811,0.44464856,-0.1603347,-0.42189783,-0.30777937,0.26930162,0.086424276,-0.09145039,0.25669608,-0.00904176,0.49440426,0.17871611,-0.16252154,-0.029178753,0.028734883,0.9292488,-0.18785596,0.7270045,0.20593117,0.27127302,0.48750073,0.011740103,0.34821996,0.49655846,-0.08269909,-0.09828677,0.098915085,-0.12835288
18,-0.30204707,0.0585264,-0.018071631,-0.24010538,-0.2154329,-0.00075517426,0.017615508,0.44896457,0.342203,-0.04100882,0.06468687,0.25062853,0.077931926,0.054262325,-0.20164806,0.19052918,0.16877095,-0.07638274,-0.5519848,-0.009783854,-0.36153057,-0.16520824,0.2126163,-0.16063592,0.455573,-0.23214872,0.03748937,0.3559786,-0.12213162,-0.113886856,-0.0471606,0.06908582,0.31791034,-0.17501757,-0.11649083,-0.026361665,-0.022045344,0.09431609,-0.108033456,0.30539632,0.42178848,-0.24503578,-0.35509485,-0.16392583,-0.45334473,0.15904425,-0.09076818,0.016793698,0.27730557,-0.07750051,-0.40809497,0.09598699,0.36085805,-0.7908195,-0.19317853,-0.27249098,-0.082382254,-0.07200578,0.018369963,-0.16548453,-0.0069112033,0.0329262,0.00035873055,0.112630025
19,-0.0002828403,0.01303628,0.015218124,-0.17137693,0.0610985,-0.23005304,-0.07034931,0.15408774,-0.21724558,-0.19994295,0.15903756,0.18590416,-0.11795365,-0.15979187,-0.2420339,-0.14330244,-0.13492548,0.039375708,0.11060262,0.047986947,0.1072837,-0.05561337,-0.12945896,-0.07504189,-0.04931143,0.16073148,0.052535787,-0.16486467,-0.15241092,0.16016708,-0.002003342,-0.023341894,-0.10376466,0.08494532,-0.037260816,-0.10291808,-0.18862158,0.12802495,-0.21541561,-0.18663216,-0.15553847,-0.16767292,0.07205305,-0.1062616,0.20991577,0.09686236,-0.17158253,-0.197849,-0.017947868,-0.14966673,-0.21423036,0.0028953431,-0.2103178,-0.18834692,-0.20725559,0.08018432,0.14544843,0.1044222,-0.15748568,-0.23659319,0.034019426,0.17409791,0.20934235,0.09274764
