1,726712
2,332
3,3717
4,6397
5,66809
6,384
7,750
8,347
9,45
10,1051
57,901048
58,34
59,42
60,2966
61,5573
62,616
11,299840
12,124719
13,28
95,1051704
96,282
97,1653
63,1433923
64,45
65,8636
66,702
67,280
68,6753
69,25648
14,34
15,60
0,4356
16,827
17,1666
18,47
1,3163
28,128
29,1480
42,46
43,1216
44,260
45,837
30,6310
31,33
46,1296
32,1382
47,1152
70,58
84,2356
56,7831
71,5825
57,472
58,37
72,353
59,492
60,107
61,133
33,16036
85,10776
86,3475
19,42917
20,35
34,13417
35,150
21,6414
22,7156
23,34
24,27
48,38009
87,51520
25,63957
88,9066
89,776
90,1148
91,5978
92,707
93,1829
94,15445
26,53151
36,90789
37,47
27,9066
38,104764
39,59
40,1270
41,654
49,394611
2,568025
3,50253
4,129
5,28
6,250268
7,1295
8,1038
9,5778
10,746
11,2490
73,779133
74,42
75,3664
76,2647
77,698
78,1321
79,46
80,37
81,1857
82,2666
83,80
95,1038889
96,2030
97,1734
50,2725959
51,4132
52,32
53,30
54,1125
55,6703
12,2422020
13,35
62,6123442
63,33200
64,46
65,28
66,2400
67,808
68,2197
69,2386
0,3148
14,46
15,35
28,115
29,980
30,2505
42,49
31,3781
32,1797
43,7262
44,421
45,486
70,106
46,1795
84,1780
47,5688
71,9622
85,9727
72,19551
73,51
33,71837
74,45083
75,645
76,3171
77,925
78,844
79,868
80,4025
81,890
82,21020
83,57669
86,215224
87,1545
88,5550
89,816
90,425
91,45463
92,2993
34,197159
35,867
93,11447
36,2773
37,46
1,286233
2,691
94,14814
3,2507
4,678
5,45
6,3630
56,425976
57,57
38,158676
39,2469
40,202
58,81599
59,169
60,90
61,242
48,354264
49,1213
50,170
51,781
52,31
53,32
41,94639
54,193372
55,49848
62,350280
63,22895
64,1278
65,33
95,697136
96,13194
97,1666
16,1254328
17,2211
18,1337
19,419
66,724109
67,35531
68,6846
69,3710
7,1574609
8,21272
9,6280
10,997
11,2561
12,3458
13,6568
20,1585635
21,698
22,1294234
23,18738
24,54
25,16352
26,180
27,458086
0,8625
1,68
28,76
2,1267
29,988
30,1603
42,842
3,6991
31,12396
32,98
70,2265
33,1998
71,1263
84,2801
56,8166
57,133
58,34
59,127
60,49
61,131
4,17231
85,10254
86,271
87,494
88,3780
89,339
90,699
14,43420
15,33
16,1955
17,28
34,18851
91,3783
